Time(s),Illuminance(lx)
1.25E-01,1.19E+03
1.64E-01,1.18E+03
2.04E-01,1.20E+03
2.84E-01,1.22E+03
3.63E-01,1.21E+03
4.03E-01,1.23E+03
5.62E-01,1.25E+03
6.02E-01,1.24E+03
7.21E-01,1.26E+03
1.36E+00,1.27E+03
1.40E+00,1.26E+03
2.87E+00,1.27E+03
2.95E+00,1.26E+03
3.07E+00,1.27E+03
3.11E+00,1.26E+03
4.74E+00,1.28E+03
4.78E+00,1.27E+03
5.02E+00,1.28E+03
5.06E+00,1.26E+03
5.78E+00,1.27E+03
5.81E+00,1.26E+03
5.93E+00,1.28E+03
5.97E+00,1.27E+03
6.37E+00,1.29E+03
6.81E+00,1.27E+03
6.93E+00,1.26E+03
7.01E+00,1.25E+03
7.05E+00,1.23E+03
7.13E+00,1.21E+03
7.17E+00,1.20E+03
7.25E+00,1.18E+03
7.29E+00,1.15E+03
7.33E+00,1.13E+03
7.37E+00,1.10E+03
7.41E+00,1.07E+03
7.45E+00,1.04E+03
7.49E+00,1.02E+03
7.53E+00,9.97E+02
7.57E+00,9.66E+02
7.61E+00,9.36E+02
7.65E+00,9.15E+02
7.69E+00,8.84E+02
7.72E+00,8.75E+02
7.76E+00,8.33E+02
7.80E+00,8.23E+02
7.84E+00,8.03E+02
7.88E+00,7.93E+02
7.92E+00,7.62E+02
7.96E+00,7.53E+02
8.00E+00,7.22E+02
8.04E+00,7.13E+02
8.08E+00,6.71E+02
8.12E+00,6.61E+02
8.16E+00,6.52E+02
8.24E+00,6.10E+02
8.28E+00,6.21E+02
8.32E+00,6.31E+02
8.36E+00,6.10E+02
8.40E+00,6.21E+02
8.48E+00,6.10E+02
8.52E+00,6.52E+02
8.56E+00,6.82E+02
8.60E+00,7.01E+02
8.64E+00,7.64E+02
8.68E+00,7.72E+02
8.72E+00,8.44E+02
8.76E+00,8.84E+02
8.80E+00,9.15E+02
8.84E+00,9.66E+02
8.88E+00,1.02E+03
8.92E+00,1.05E+03
8.96E+00,1.08E+03
9.00E+00,1.11E+03
9.04E+00,1.14E+03
9.08E+00,1.15E+03
9.12E+00,1.17E+03
9.20E+00,1.19E+03
9.24E+00,1.18E+03
9.32E+00,1.20E+03
9.48E+00,1.21E+03
9.64E+00,1.23E+03
9.79E+00,1.24E+03
1.00E+01,1.26E+03
1.03E+01,1.28E+03
1.04E+01,1.27E+03
1.08E+01,1.29E+03
1.09E+01,1.27E+03
1.09E+01,1.29E+03
1.14E+01,1.27E+03
1.16E+01,1.28E+03
1.16E+01,1.27E+03
1.19E+01,1.28E+03
1.19E+01,1.26E+03
1.23E+01,1.24E+03
1.25E+01,1.22E+03
1.25E+01,1.23E+03
1.27E+01,1.21E+03
1.29E+01,1.22E+03
1.30E+01,1.19E+03
1.30E+01,1.20E+03
1.33E+01,1.18E+03
1.34E+01,1.19E+03
1.35E+01,1.17E+03
1.36E+01,1.15E+03
1.37E+01,1.16E+03
1.37E+01,1.14E+03
1.37E+01,1.12E+03
1.38E+01,1.11E+03
1.39E+01,1.09E+03
1.40E+01,1.08E+03
1.41E+01,1.09E+03
1.41E+01,1.08E+03
1.42E+01,1.06E+03
1.43E+01,1.05E+03
1.44E+01,1.03E+03
1.45E+01,1.01E+03
1.45E+01,1.02E+03
1.47E+01,9.97E+02
1.47E+01,1.01E+03
1.48E+01,9.97E+02
1.48E+01,9.76E+02
1.48E+01,9.87E+02
1.49E+01,9.66E+02
1.50E+01,9.57E+02
1.50E+01,9.36E+02
1.51E+01,9.15E+02
1.51E+01,9.26E+02
1.52E+01,9.05E+02
1.52E+01,8.96E+02
1.53E+01,8.75E+02
